Token.ID	Corpus	Text.ID	Genre	Comments	Type	Semantic.Relation	Whole.Genitive	Whole.Sentence	Possessor	Possessor.Head	Possessor.Expression.Type	Final.Sibilant	Possessum	Possessum.Head	Possessor.Animacy	Possessum.Animacy	Possessor.Givenness	Possessor.Word.Count	Possessum.Word.Count	Possessor.Syl.Count	Possessum.Syl.Count	Prior.Genitive	Possessor.Animacy.Bin	Possessum.Animacy.Bin	Semantic.Relation.Bin	TypeTokenRatio	PossessorFreq	PossessumFreq	PossessorTextFreq	PossessumTextFreq	PossessorLogTFreq	PossessumLogTFreq	Prior.Genitive.Bin	Genre.Bin
703	Frown	G05	Non-fiction		s	OTH	an archaeologist's diagram	In the front of the lot , a large wooden grid in the form of an archaeologist 's diagram correlates shards and artifacts with particular strata .	an archaeologist	archaeologist	CommonN	N	diagram	diagram	human	inanimate abstract	n	2	2	2	1	of	Anim	Inanim	N	70	2	2	0.001	0.001	-3	-3	N	Non-press
704	Frown	G05	Non-fiction		of	OTH	the form of an archaeologist 's diagram	In the front of the lot , a large wooden grid in the form of an archaeologist 's diagram correlates shards and artifacts with particular strata .	an archaeologist 's diagram	diagram	CommonN	N	the form	form	inanimate abstract	inanimate abstract	n	4	4	NA	2	s	Inanim	Inanim	N	70	2	10	0.001	0.005	-3	-2.301029996	Y	Non-press
705	Frown	G05	Non-fiction		of	PRT	the front of the lot	In the front of the lot , a large wooden grid in the form of an archaeologist 's diagram correlates shards and artifacts with particular strata .	the lot	lot	CommonN	N	the front	front	place	inanimate concrete	g	2	2	2	2	of	Inanim	Inanim	Y	74	4	1	0.002	0.0005	-2.698970004	-3.301029996	N	Non-press
706	Frown	G05	Non-fiction		of	OTH	sources of action	The overall effect is of an archaeological dig in progress ; besides the title , however , Lubell indicates in two other ways that the dig is ultimately for the self and sources of action .	action	action	CommonN	N	sources	sources	inanimate abstract	inanimate concrete	n	1	1	1	1	of	Inanim	Inanim	N	69	1	3	5e-4	0.0015	-3.301029996	-2.823908741	N	Non-press
707	Frown	G05	Non-fiction		of	OTH	the use of logical operators	The use of logical operators suggests that the signs are not just for identification but also indicate objects of inquiry : the sources of reason and language .	logical operators	operators	CommonN	Y	the use	use	human	inanimate abstract	g	2	2	2	2	of	Anim	Inanim	N	69	2	5	0.001	0.0025	-3	-2.602059991	N	Non-press
708	Frown	G05	Non-fiction		s	OTH	a painter's palette	Likewise , Lubell has put what looks like a painter 's palette at the lowest level and two simple grids at the highest level of his archaeological diagram , thereby suggesting that the grid presents its own prehistory as an artist 's tool .	a painter	painter	CommonN	N	palette	palette	human	inanimate concrete	n	2	2	2	1	of	Anim	Inanim	N	74	4	1	0.002	0.0005	-2.698970004	-3.301029996	N	Non-press
709	Frown	G05	Non-fiction		s	OTH	an artist's tool	Likewise , Lubell has put what looks like a painter 's palette at the lowest level and two simple grids at the highest level of his archaeological diagram , thereby suggesting that the grid presents its own prehistory as an artist 's tool .	an artist	artist	CommonN	N	tool	tool	human	inanimate abstract	n	2	2	2	1	s	Anim	Inanim	N	79	7	3	0.0035	0.0015	-2.455931956	-2.823908741	Y	Non-press
710	Frown	G05	Non-fiction		of	OTH	the highest level of his archaeological diagram	Likewise , Lubell has put what looks like a painter 's palette at the lowest level and two simple grids at the highest level of his archaeological diagram , thereby suggesting that the grid presents its own prehistory as an artist 's tool .	his archaeological diagram	diagram	CommonN	N	the highest level	level	inanimate abstract	inanimate abstract	g	3	3	3	3	s	Inanim	Inanim	N	77	2	3	0.001	0.0015	-3	-2.823908741	Y	Non-press
711	Frown	G05	Non-fiction		of	OTH	lines of influence	No order is apparent : arrows linking artifacts in lines of influence glide over the gaps in the grid .	influence	influence	CommonN	Y	lines	lines	inanimate abstract	inanimate abstract	n	1	1	1	1	of	Inanim	Inanim	N	78	2	1	0.001	0.0005	-3	-3.301029996	N	Non-press
712	Frown	G05	Non-fiction		of	OTH	the effort of self-knowledge	The effort of self-knowledge yields a grab bag of quaint machines and uncertain charts .	self-knowledge	self-knowledge	CommonN	N	the effort	effort	inanimate abstract	inanimate abstract	n	1	1	1	2	of	Inanim	Inanim	N	80	2	1	0.001	0.0005	-3	-3.301029996	N	Non-press
713	Frown	G05	Non-fiction		of	OTH	the sense of an empty urban lot	Like the conceptual artist Charles Gute , who recently worked with this site , Lubell draws upon the sense of an empty urban lot as a transitional place , one abandoned only momentarily .	an empty urban lot	lot	CommonN	N	the sense	sense	human	inanimate abstract	n	4	4	3	2	of	Anim	Inanim	N	78	4	4	0.002	0.002	-2.698970004	-2.698970004	N	Non-press
714	Frown	G05	Non-fiction		of	OTH	the inevitable incompleteness of one's knowledge of one's past	By contrast , Lubell wants to highlight the inevitable incompleteness of one 's knowledge of one 's past .	one 's knowledge of one 's past	knowledge	CommonN	N	the inevitable incompleteness	incompleteness	inanimate abstract	inanimate abstract	n	7	7	NA	2	of	Inanim	Inanim	N	73	5	2	0.0025	0.001	-2.602059991	-3	N	Non-press
715	Frown	G05	Non-fiction		of	OTH	two inseparable aspects of a necessarily endless process of understanding	What first appears as the urban rhythm of construction and demolition figures in art as two inseparable aspects of a necessarily endless process of understanding .	a necessarily endless process of understanding	process	CommonN	N	two inseparable aspects	aspects	inanimate abstract	inanimate abstract	n	6	6	6	3	of	Inanim	Inanim	N	72	2	1	0.001	0.0005	-3	-3.301029996	N	Non-press
716	Frown	G05	Non-fiction	deverbal	of	OTH	the urban rhythm of construction and demolition	What first appears as the urban rhythm of construction and demolition figures in art as two inseparable aspects of a necessarily endless process of understanding .	construction and demolition	construction	CommonN	N	the urban rhythm	rhythm	inanimate abstract	inanimate abstract	g	3	3	3	3	of	Inanim	Inanim	N	72	3	1	0.0015	0.0005	-2.823908741	-3.301029996	N	Non-press
717	Frown	G05	Non-fiction	deverbal	of	OTH	the transformation of self-discovery	What the archaeology of intention reveals is the transformation of self-discovery into self-creation , which in turn requires a new attempt at discovery .	self-discovery	self-discovery	CommonN	N	the transformation	transformation	inanimate abstract	inanimate abstract	n	1	1	NA	2	of	Inanim	Inanim	N	76	2	1	0.001	0.0005	-3	-3.301029996	N	Non-press
718	Frown	G05	Non-fiction		s	OTH	the title's allusion	Lubell clarifies this difficult sense of aesthetic self-discovery as an open-ended spiral through the title 's allusion to Michael Foucault 's /<hi The Archaeology of Knowledge /< .	the title	title	CommonN	N	allusion	allusion	inanimate abstract	inanimate abstract	n	2	2	2	1	of	Inanim	Inanim	N	73	3	1	0.0015	0.0005	-2.823908741	-3.301029996	N	Non-press
719	Frown	G05	Non-fiction		s	OTH	Foucault's material	"In Foucault 's equally difficult sense , archaeology does not search for origins but instead describes the `` question of the already-said at the level of its existence '' ; like Lubell 's machines and artifacts , Foucault 's material "" already-said "" is the ultimate object of inquiry , and not some immaterial intention or disembodied principle ."	Foucault	Foucault	ProperN	N	material	material	human	inanimate concrete	n	1	1	NA	1	s	Anim	Inanim	N	72	6	1	0.003	0.0005	-2.522878745	-3.301029996	Y	Non-press
720	Frown	G05	Non-fiction		s	OTH	Foucault's equally difficult sense	"In Foucault 's equally difficult sense , archaeology does not search for origins but instead describes the `` question of the already-said at the level of its existence '' ; like Lubell 's machines and artifacts , Foucault 's material "" already-said "" is the ultimate object of inquiry , and not some immaterial intention or disembodied principle ."	Foucault	Foucault	ProperN	N	equally difficult sense	sense	human	inanimate abstract	n	1	1	NA	3	s	Anim	Inanim	N	79	6	4	0.003	0.002	-2.522878745	-2.698970004	Y	Non-press
722	Frown	G05	Non-fiction		s	OTH	Lubell's art	And again , like Lubell 's art , what Foucault 's inquiry reveals is `` this dispersion that we are and make . ''	Lubell	Foucault	ProperN	N	art	art	human	inanimate abstract	g	1	1	NA	1	s	Anim	Inanim	N	75	6	20	0.003	0.01	-2.522878745	-2	Y	Non-press
723	Frown	G05	Non-fiction		s	OTH	Foucault's inquiry	And again , like Lubell 's art , what Foucault 's inquiry reveals is `` this dispersion that we are and make . ''	Foucault	Foucault	ProperN	N	inquiry	inquiry	human	inanimate abstract	g	1	1	NA	1	s	Anim	Inanim	N	74	6	4	0.003	0.002	-2.522878745	-2.698970004	Y	Non-press
724	Frown	G05	Non-fiction		s	OTH	the archaeologist of knowledge's gaze	The distance of the archaeologist of knowledge 's gaze from its objects allows a certain serenity which is impossible for Lubell .	the archaeologist of knowledge	archaeologist	CommonN	N	gaze	gaze	human	inanimate abstract	n	4	4	4	1	s	Anim	Inanim	N	71	2	1	0.001	0.0005	-3	-3.301029996	Y	Non-press
725	Frown	G05	Non-fiction		of	OTH	the distance of the archaeologist of knowledge 's gaze	The distance of the archaeologist of knowledge 's gaze from its objects allows a certain serenity which is impossible for Lubell .	the archaeologist of knowledge 's gaze	gaze	CommonN	Y	the distance	distance	inanimate abstract	inanimate abstract	n	6	6	NA	2	s	Inanim	Inanim	N	72	1	2	5e-4	0.001	-3.301029996	-3	Y	Non-press
726	Frown	G05	Non-fiction		s	OTH	Lubell's work	Because it searches for the sources of its own agency , Lubell 's work is caught up in his own inquiry , like a painter painting herself painting herself .	Lubell	Lubell	ProperN	N	work	work	human	inanimate abstract	g	1	1	NA	1	of	Anim	Inanim	N	66	14	13	0.007	0.0065	-2.15490196	-2.187086643	N	Non-press
727	Frown	G05	Non-fiction		of	OTH	the sources of its own agency	Because it searches for the sources of its own agency , Lubell 's work is caught up in his own inquiry , like a painter painting herself painting herself .	its own agency	agency	CommonN	N	the sources	sources	collective human	inanimate concrete	n	3	3	3	2	s	Inanim	Inanim	N	70	1	3	5e-4	0.0015	-3.301029996	-2.823908741	Y	Non-press
728	Frown	G05	Non-fiction		of	OTH	the flawlessness of the vessel	Cool , minimal , meditative , the flawlessness of the vessel elevates it to a Zen garden-like focal point ; an object of contemplation .	the vessel	vessel	CommonN	N	the flawlessness	flawlessness	inanimate concrete	inanimate abstract	g	2	2	2	2	of	Inanim	Inanim	N	80	4	1	0.002	0.0005	-2.698970004	-3.301029996	N	Non-press
729	Frown	G05	Non-fiction		of	OTH	the work of Ruth Duckworth	Such is the potential experience of the work of Ruth Duckworth , at Dorothy Weiss Gallery .	Ruth Duckworth	Duckworth	ProperN	N	the work	work	human	inanimate abstract	g	2	2	NA	2	of	Anim	Inanim	N	81	7	13	0.0035	0.0065	-2.455931956	-2.187086643	N	Non-press
730	Frown	G05	Non-fiction		of	OTH	the detached elegance and quiet beauty of a Duckworth porcelain cup or bowl	When considered singularly , the detached elegance and quiet beauty of a Duckworth porcelain cup or bowl is compelling .	a Duckworth porcelain cup or bowl	cup	CommonN	N	the detached elegance and quiet beauty	elegance	inanimate concrete	inanimate abstract	n	6	6	6	6	of	Inanim	Inanim	N	78	3	1	0.0015	0.0005	-2.823908741	-3.301029996	N	Non-press
732	Frown	G05	Non-fiction		of	OTH	the incised edge of its foreground blade	Interest is created by the incised edge of its foreground blade and the sculptural dynamic it creates in relation to its unmanipulated posterior twin .	its foreground blade	blade	CommonN	N	the incised edge	edge	body part	inanimate concrete	n	3	3	3	3	s	Inanim	Inanim	N	75	5	2	0.0025	0.001	-2.602059991	-3	Y	Non-press
733	Frown	G05	Non-fiction		s	OTH	the artist's abstract sculptures	More dynamic and individualistic are the artist 's abstract sculptures and wall maquettes .	the artist	artist	CommonN	N	abstract sculptures	sculptures	human	inanimate concrete	n	2	2	2	2	of	Anim	Inanim	N	80	7	2	0.0035	0.001	-2.455931956	-3	N	Non-press
734	Frown	G05	Non-fiction		s	OTH	Barbara Hepworth's forms	Although somewhat too closely allied with Barbara Hepworth 's forms , the two standing constructions here have an impressive , lyrical fluidity .	Barbara Hepworth	Hepworth	ProperN	N	forms	forms	human	inanimate abstract	n	2	2	2	1	s	Anim	Inanim	N	81	1	4	5e-4	0.002	-3.301029996	-2.698970004	Y	Non-press
735	Frown	G05	Non-fiction		s	BOD	the artist's hand	The presence of the artist 's hand in these pieces , as well is like an open window in this hothouse of precious forms .	the artist	artist	CommonN	N	hand	hand	human	body part	n	2	2	2	1	s	Anim	Inanim	Y	76	7	3	0.0035	0.0015	-2.455931956	-2.823908741	Y	Non-press
736	Frown	G05	Non-fiction		of	OTH	the presence of the artist 's hand	The presence of the artist 's hand in these pieces , as well is like an open window in this hothouse of precious forms .	the artist 's hand	hand	CommonN	N	the presence	presence	body part	inanimate abstract	n	4	4	NA	2	s	Inanim	Inanim	N	78	3	2	0.0015	0.001	-2.823908741	-3	Y	Non-press
737	Frown	G05	Non-fiction		s	OTH	Duckworth's diverse aesthetics	The competing sensibilities of Duckworth 's diverse aesthetics raises existential questions pertinent to recent art : where is the validity of a perfectly crafted vessel form ?	Duckworth	Duckworth	ProperN	N	diverse aesthetics	aesthetics	human	inanimate abstract	n	1	1	1	2	of	Anim	Inanim	N	77	7	1	0.0035	0.0005	-2.455931956	-3.301029996	N	Non-press
738	Frown	G05	Non-fiction		of	OTH	the competing sensibilities of Duckworth 's diverse aesthetics	The competing sensibilities of Duckworth 's diverse aesthetics raises existential questions pertinent to recent art : where is the validity of a perfectly crafted vessel form ?	Duckworth 's diverse aesthetics	aesthetics	CommonN	Y	the competing sensibilities	sensibilities	inanimate abstract	inanimate abstract	n	4	4	NA	3	s	Inanim	Inanim	N	77	1	1	5e-4	0.0005	-3.301029996	-3.301029996	Y	Non-press
739	Frown	G05	Non-fiction		s	OTH	Duckworth's handiwork	While technical mastery remains admirable and Duckworth 's handiwork is consummate , in the context of the current art world , her formalist focus and serial explorations seem anachronistic and redundant .	Duckworth	Duckworth	ProperN	N	handiwork	handiwork	human	inanimate abstract	n	1	1	1	1	of	Anim	Inanim	N	76	7	1	0.0035	0.0005	-2.455931956	-3.301029996	N	Non-press
740	Frown	G05	Non-fiction		s	OTH	this writer's hope	Now that Duckworth has achieved a pinnacle of perfection with her more traditional works , this writer 's hope is for her to pursue the more evocative , conceptual path suggested by her maquettes and freestanding sculptures , which perhaps will lead her to new definitions of consummate expression .	this writer	writer	CommonN	N	hope	hope	human	inanimate abstract	n	2	2	2	1	s	Anim	Inanim	N	75	1	1	5e-4	0.0005	-3.301029996	-3.301029996	Y	Non-press
741	Frown	G05	Non-fiction		of	OTH	the workings of the human mind	There are times when nothing is more fascinating to me than to observe the workings of the human mind .	the human mind	mind	CommonN	N	the workings	workings	body part	inanimate abstract	n	3	3	3	2	s	Inanim	Inanim	N	74	1	1	5e-4	0.0005	-3.301029996	-3.301029996	Y	Non-press
742	Frown	G05	Non-fiction		of	OTH	the wake of the fury that shook Los Angeles	But in the wake of the fury that shook Los Angeles - as the fires cool and neighborhoods reel - now is not one of those times .	the fury that shook Los Angeles	fury	CommonN	Y	the wake	wake	inanimate abstract	inanimate abstract	n	6	6	6	2	of	Inanim	Inanim	N	78	1	1	5e-4	0.0005	-3.301029996	-3.301029996	N	Non-press
743	Frown	G05	Non-fiction		of	OTH	the importance of art	Perhaps the social upheaval has precipitated something of a forced reality check amounting to a crisis of faith in the importance of art - for me , and for other artists with whom I 've spoken recently .	art	art	CommonN	N	the importance	importance	inanimate abstract	inanimate abstract	g	1	1	1	2	of	Inanim	Inanim	N	79	20	1	0.01	0.0005	-2	-3.301029996	N	Non-press
744	Frown	G05	Non-fiction		s	OTH	Conceptual Art's semiotic base	Still , co-curators Phyllis Plous and Frances Colpitt have put together a small but incisively well-defined exhibition that explores the growth of Conceptual Art 's semiotic base .	Conceptual Art	Art	ProperN	N	semiotic base	base	inanimate abstract	inanimate concrete	n	2	2	2	2	of	Inanim	Inanim	N	78	9	1	0.0045	0.0005	-2.346787486	-3.301029996	N	Non-press
745	Frown	G05	Non-fiction		of	OTH	the growth of Conceptual Art 's semiotic base	Still , co-curators Phyllis Plous and Frances Colpitt have put together a small but incisively well-defined exhibition that explores the growth of Conceptual Art 's semiotic base .	Conceptual Art 's semiotic base	base	CommonN	Y	the growth	growth	inanimate concrete	inanimate abstract	n	5	5	NA	2	s	Inanim	Inanim	N	80	1	1	5e-4	0.0005	-3.301029996	-3.301029996	Y	Non-press
746	Frown	G05	Non-fiction		of	OTH	the work of these eighteen artists	At any other moment it would be easy to wax enthusiastic over the work of these eighteen artists -LBR- slightly reduced for this venue -RBR- and the delightfully clear writing that accompanies such an intellectually stringent and historically coded exhibition .	these eighteen artists	artists	CommonN	Y	the work	work	human	inanimate abstract	g	3	3	3	2	of	Anim	Inanim	N	79	2	13	0.001	0.0065	-3	-2.187086643	N	Non-press
747	Frown	G05	Non-fiction		of	OTH	the powerful influence of Conceptual Art	Together they make a strong argument for the powerful influence of Conceptual Art on postmodern considerations of cultural context , and the energy it has lent the politics of decentered pluralism .	Conceptual Art	Art	ProperN	N	the powerful influence	influence	inanimate abstract	inanimate abstract	n	2	2	2	3	of	Inanim	Inanim	N	82	9	2	0.0045	0.001	-2.346787486	-3	N	Non-press
748	Frown	G05	Non-fiction		s	OWN	Nero's fiddle	Standing before Thomas Locher 's Cibachrome door of arbitrarily assigned numbers , I felt a for the nuances of Nero 's fiddle amid Rome 's cooling ashes .	Nero	Nero	ProperN	N	fiddle	fiddle	human	inanimate concrete	n	1	1	1	1	of	Anim	Inanim	Y	75	1	1	5e-4	0.0005	-3.301029996	-3.301029996	N	Non-press
749	Frown	G05	Non-fiction		s	OTH	Rome's cooling ashes	Standing before Thomas Locher 's Cibachrome door of arbitrarily assigned numbers , I felt a for the nuances of Nero 's fiddle amid Rome 's cooling ashes .	Rome	Rome	ProperN	N	cooling ashes	ashes	place	inanimate concrete	n	1	1	1	1	s	Inanim	Inanim	N	76	1	1	5e-4	0.0005	-3.301029996	-3.301029996	Y	Non-press
750	Frown	G05	Non-fiction		s	OTH	Thomas Locher's Cibachrome door of arbitrarily assigned numbers	Standing before Thomas Locher 's Cibachrome door of arbitrarily assigned numbers , I felt a for the nuances of Nero 's fiddle amid Rome 's cooling ashes .	Thomas Locher	Locher	ProperN	N	Cibachrome door of arbitrarily assigned numbers	door	human	inanimate concrete	n	2	2	NA	NA	s	Anim	Inanim	N	74	1	1	5e-4	0.0005	-3.301029996	-3.301029996	Y	Non-press
751	Frown	G05	Non-fiction		of	OTH	the nuances of Nero 's fiddle	Standing before Thomas Locher 's Cibachrome door of arbitrarily assigned numbers , I felt a for the nuances of Nero 's fiddle amid Rome 's cooling ashes .	Nero 's fiddle	fiddle	CommonN	N	the nuances	nuances	inanimate concrete	inanimate abstract	n	3	3	NA	2	s	Inanim	Inanim	N	77	1	1	5e-4	0.0005	-3.301029996	-3.301029996	Y	Non-press
752	Frown	G05	Non-fiction		of	OTH	the latest work of the eighties and nineties	Ironically , some of the latest work of the eighties and nineties seemed to share my distress .	the eighties and nineties	eighties	CommonN	Y	the latest work	work	time	inanimate abstract	n	4	4	4	3	of	Inanim	Inanim	N	79	1	13	5e-4	0.0065	-3.301029996	-2.187086643	N	Non-press
758	Frown	G06	Non-fiction		of	OTH	the details of an amnesty	With the details of an amnesty still to be worked out , concerns persist that the Salvadoran government might attempt to pardon those convicted of the 1989 murders of six Jesuit priests , their cook and her daughter .	an amnesty	amnesty	CommonN	N	the details	details	collective human	inanimate abstract	n	2	2	2	2	n	Inanim	Inanim	N	73	2	1	0.001	0.0005	-3	-3.301029996	N	Non-press
759	Frown	G06	Non-fiction		of	OTH	the 1989 murders of six jesuit priests	With the details of an amnesty still to be worked out , concerns persist that the Salvadoran government might attempt to pardon those convicted of the 1989 murders of six Jesuit priests , their cook and her daughter .	six jesuit priests	priests	CommonN	Y	the 1989 murders	murders	human	inanimate abstract	n	3	3	3	NA	of	Anim	Inanim	N	76	1	7	5e-4	0.0035	-3.301029996	-2.455931956	N	Non-press
760	Frown	G06	Non-fiction		of	OTH	commander of the infamous First Brigade	He reported that those who attended the meeting at the Military Academy were Gen. Ren&eacute; Emilio Ponce , then army Chief of Staff and now Defense Minister ; Orlando Zepeda -LBR- then a colonel , now a general -RBR- , Deputy Minister of Defense ; Col. Francisco Elena Fuentes , commander of the infamous First Brigade ; and Gen. Juan Rafael Bustillo , long rumored to be a collaborator with the Central Intelligence Agency .	the infamous First Brigade	Brigade	CommonN	N	commander	commander	collective human	human	n	4	4	4	1	of	Inanim	Anim	N	78	3	3	0.0015	0.0015	-2.823908741	-2.823908741	N	Non-press
761	Frown	G06	Non-fiction		of	OTH	director of the Military Academy	Entrusted with carrying out the plan was the director of the Military Academy , Col. Guillermo Alfredo Benavides .	the Military Academy	Academy	ProperN	N	director	director	collective human	human	g	3	3	3	1	of	Inanim	Anim	N	78	8	1	0.004	0.0005	-2.397940009	-3.301029996	N	Non-press
762	Frown	G06	Non-fiction		s	OTH	Moakley's statement	According to Moakley 's statement , the reactions of the other officers at the meeting `` ranged from support to reluctant acceptance to silence . ''	Moakley	Moakley	ProperN	N	statement	statement	human	inanimate abstract	g	1	1	NA	1	of	Anim	Inanim	N	74	18	4	0.009	0.002	-2.045757491	-2.698970004	N	Non-press
763	Frown	G06	Non-fiction		of	OTH	the reactions of the other officers	According to Moakley 's statement , the reactions of the other officers at the meeting `` ranged from support to reluctant acceptance to silence . ''	the other officers	officers	CommonN	Y	the reactions	reactions	human	inanimate abstract	n	3	3	3	2	s	Anim	Inanim	N	76	11	1	0.0055	0.0005	-2.259637311	-3.301029996	Y	Non-press
764	Frown	G06	Non-fiction		s	OTH	The army's enmity	The army 's enmity for the Jesuits was nothing new .	The army	army	CommonN	N	enmity	enmity	collective human	inanimate abstract	n	2	2	2	1	of	Inanim	Inanim	N	75	7	1	0.0035	0.0005	-2.455931956	-3.301029996	N	Non-press
766	Frown	G06	Non-fiction	deverbal	s	OTH	Moakley's revelation of the afternoon meeting	Moakley 's revelation of the afternoon meeting is one of several accounts of gatherings of top officers in the hours preceding the crime .	Moakley	Moakley	ProperN	N	revelation of the afternoon meeting	revelation	human	inanimate abstract	g	1	1	NA	5	s	Anim	Inanim	N	80	18	1	0.009	0.0005	-2.045757491	-3.301029996	Y	Non-press
767	Frown	G06	Non-fiction		of	OTH	the most threatening urban guerilla offensive of the decade-long civil war	Other versions place the meeting at Joint Command headquarters , where many officers had virtually taken up residence during the most threatening urban guerilla offensive of the decade-long civil war .	the decade-long civil war	war	CommonN	N	the most threatening urban guerilla offensive	offensive	inanimate abstract	inanimate abstract	n	4	4	NA	6	s	Inanim	Inanim	N	75	1	1	5e-4	0.0005	-3.301029996	-3.301029996	Y	Non-press
768	Frown	G06	Non-fiction		of	OTH	the office of General Zepeda	A May 1 , 1990 , communiqu&eacute; issued by young army officers said two meetings at which the murders were plotted had been held on the afternoon of November 15 , 1989 , in the office of General Zepeda .	General Zepeda	Zepeda	ProperN	N	the office	office	human	place	n	2	2	NA	2	of	Anim	Inanim	N	85	3	12	0.0015	0.006	-2.823908741	-2.22184875	N	Non-press
769	Frown	G06	Non-fiction		of	OTH	the views of Col. Sigifredo Ochoa P&eacute;rez	The junior officers also gave credibility to the views of Col. Sigifredo Ochoa P&eacute;rez , a retired field commander who is now an influential member of the ruling ARENA party .	Col. Sigifredo Ochoa P&eacute;rez	Perez	ProperN	Y	the views	views	human	inanimate abstract	n	4	4	NANANANA	2	of	Anim	Inanim	N	86	1	1	5e-4	0.0005	-3.301029996	-3.301029996	N	Non-press
770	Frown	G06	Non-fiction		s	OTH	El Salvador's senior military officials	El Salvador 's senior military officials reacted predictably to Moakley 's allegations , declaring their innocence , demanding proof and decrying politicization of the case .	El Salvador	Salvador	ProperN	N	senior military officials	officials	place	human	n	2	2	2	3	of	Inanim	Anim	N	82	16	1	0.008	0.0005	-2.096910013	-3.301029996	N	Non-press
771	Frown	G06	Non-fiction		s	OTH	Moakley's allegations	El Salvador 's senior military officials reacted predictably to Moakley 's allegations , declaring their innocence , demanding proof and decrying politicization of the case .	Moakley	Moakley	ProperN	N	allegations	allegations	human	inanimate abstract	n	1	1	NA	1	s	Anim	Inanim	N	87	18	1	0.009	0.0005	-2.045757491	-3.301029996	Y	Non-press
772	Frown	G06	Non-fiction	deverbal	of	OTH	politicization of the case	El Salvador 's senior military officials reacted predictably to Moakley 's allegations , declaring their innocence , demanding proof and decrying politicization of the case .	the case	case	CommonN	Y	politicization	politicization	inanimate abstract	inanimate abstract	n	2	2	2	1	s	Inanim	Inanim	N	86	5	1	0.0025	0.0005	-2.602059991	-3.301029996	Y	Non-press
773	Frown	G06	Non-fiction		s	OTH	the army's worst human rights records	First Brigade commander Elena Fuentes , whose troops have one of the army 's worst human rights records , said Moakley has a notoriously close relationship to the F.M.L.N. , `` to the point that there is a suspicious coincidence between the declarations of the terrorist leader Joaqu&iacute;n Villalobos and the honorable Mr. Moakley . ''	the army	army	CommonN	N	worst human rights records	records	collective human	inanimate abstract	g	2	2	2	4	of	Inanim	Inanim	N	80	7	1	0.0035	0.0005	-2.455931956	-3.301029996	N	Non-press
774	Frown	G06	Non-fiction		of	OTH	the declarations of the terrorist leader Joaqu&iacute;n Villalobos and the honorable Mr. Moakley	First Brigade commander Elena Fuentes , whose troops have one of the army 's worst human rights records , said Moakley has a notoriously close relationship to the F.M.L.N. , `` to the point that there is a suspicious coincidence between the declarations of the terrorist leader Joaqu&iacute;n Villalobos and the honorable Mr. Moakley . ''	the terrorist leader Joaqu&iacute;n Villalobos and the honorable Mr. Moakley	Villalobos	CommonN	N	the declarations	declarations	human	inanimate abstract	n	10	10	NANANA	2	s	Anim	Inanim	N	79	1	1	5e-4	0.0005	-3.301029996	-3.301029996	Y	Non-press
775	Frown	G06	Non-fiction		of	OTH	the afternoon of the assassination	-LBR- On the afternoon of the assassination , First Brigade sound trucks drove around San Salvador triumphantly announcing , `` Ellacur&iacute;a and Mart&iacute;n-Bar&oacute; -LSB- a Jesuit psychologist who was among those murdered -RSB- have fallen .	the assassination	assassination	CommonN	N	the afternoon	afternoon	inanimate abstract	time	n	2	2	2	2	of	Inanim	Inanim	N	80	2	5	0.001	0.0025	-3	-2.602059991	N	Non-press
776	Frown	G06	Non-fiction		of	OTH	the government of President Alfredo Cristiani	Even the government of President Alfredo Cristiani felt compelled to defend the army , placing a paid advertisement in the Salvadoran press .	President Alfredo Cristiani	Cristiani	ProperN	N	the government	government	human	collective human	n	3	3	NA	2	of	Anim	Inanim	N	81	1	4	5e-4	0.002	-3.301029996	-2.698970004	N	Non-press
777	Frown	G06	Non-fiction		s	OTH	Congressman Moakley's charges	Congressman Moakley 's charges provoked new complaints about foreign intervention into the case .	Congressman Moakley	Moakley	ProperN	N	charges	charges	human	inanimate abstract	g	2	2	NA	1	of	Anim	Inanim	N	76	18	3	0.009	0.0015	-2.045757491	-2.823908741	N	Non-press
778	Frown	G06	Non-fiction		of	OTH	the trial of nine soldiers	This theme was part of the defense 's appeal to the jury at the trial of nine soldiers last September .	nine soldiers	soldiers	CommonN	Y	the trial	trial	human	inanimate abstract	n	2	2	2	2	s	Anim	Inanim	N	76	2	5	0.001	0.0025	-3	-2.602059991	Y	Non-press
779	Frown	G06	Non-fiction		s	OTH	the defense's appeal	This theme was part of the defense 's appeal to the jury at the trial of nine soldiers last September .	the defense	defense	CommonN	Y	appeal	appeal	inanimate abstract	inanimate abstract	n	2	2	2	1	of	Inanim	Inanim	N	75	8	2	0.004	0.001	-2.397940009	-3	N	Non-press
780	Frown	G06	Non-fiction		of	OTH	the campus of Central American University	At no time did the defense attempt to paint an alternative scenario for what happened on the campus of Central American University the night of the murders .	Central American University	University	ProperN	N	the campus	campus	collective human	place	n	3	3	3	2	s	Inanim	Inanim	N	78	4	1	0.002	0.0005	-2.698970004	-3.301029996	Y	Non-press
781	Frown	G06	Non-fiction		of	OTH	Members of the jury	Members of the jury heard no oral testimony or cross-examination , and for security reasons were blocked from seeing the defendants .	the jury	jury	CommonN	N	Members	Members	collective human	human	g	2	2	2	1	of	Inanim	Anim	N	78	12	1	0.006	0.0005	-2.22184875	-3.301029996	N	Non-press
